hr,spring,casual_s1,summer,casual_s2,fall,casual_s3,winter,casual_s4
0,1,3.394285714285714,2,12.467032967032967,3,16.540106951871657,4,7.887005649717514
1,1,2.367816091954023,2,8.244565217391305,3,9.650537634408602,4,5.632183908045977
2,1,1.8414634146341464,2,5.711956521739131,3,7.053763440860215,4,4.218390804597701
3,1,1.033112582781457,2,3.1564245810055866,3,4.016129032258065,4,2.38728323699422
4,1,0.4794520547945205,2,1.4213483146067416,3,1.7219251336898396,4,1.2727272727272727
5,1,0.38095238095238093,2,1.5193370165745856,3,2.6451612903225805,4,1.0056818181818181
6,1,1.1781609195402298,2,5.644808743169399,3,6.655913978494624,4,2.9886363636363638
7,1,4.0508474576271185,2,14.391304347826088,3,16.97872340425532,4,8.369318181818182
8,1,8.289017341040463,2,27.060773480662984,3,32.41711229946524,4,18.14450867052023
9,1,11.44186046511628,2,39.71910112359551,3,44.77956989247312,4,27.022988505747126
10,1,17.041176470588237,2,60.11666666666667,3,66.34946236559139,4,41.632183908045974
11,1,24.81286549707602,2,76.03867403314918,3,80.63101604278074,4,56.01149425287356
12,1,30.548192771084338,2,86.74301675977654,3,89.08108108108108,4,66.89285714285714
13,1,32.53216374269006,2,94.35393258426966,3,92.09139784946237,4,69.32558139534883
14,1,36.25454545454546,2,97.44067796610169,3,95.32085561497327,4,75.05780346820809
15,1,36.538922155688624,2,99.69942196531792,3,92.31720430107526,4,72.02873563218391
16,1,33.90643274853801,2,95.88135593220339,3,95.4972972972973,4,69.4090909090909
17,1,30.226190476190474,2,100.74719101123596,3,102.78021978021978,4,63.59659090909091
18,1,21.13855421686747,2,85.92134831460675,3,92.375,4,44.93142857142857
19,1,13.898809523809524,2,68.57692307692308,3,82.41397849462365,4,29.445714285714285
20,1,10.350877192982455,2,48.6536312849162,3,62.935135135135134,4,22.591954022988507
21,1,8.47953216374269,2,36.11538461538461,3,49.42162162162162,4,18.53142857142857
22,1,6.908045977011494,2,28.276243093922652,3,38.47282608695652,4,15.268571428571429
23,1,4.597701149425287,2,19.557377049180328,3,25.342245989304814,4,10.909604519774012
